_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12120,31.0,MALE,TOWN,22522.8,YES,0.0,YES,YES,YES,NO,NO
ID12134,33.0,FEMALE,INNER_CITY,29921.3,NO,3.0,YES,YES,NO,NO,NO
ID12135,43.0,MALE,SUBURBAN,37521.9,NO,0.0,NO,YES,YES,NO,YES
ID12139,43.0,FEMALE,TOWN,18504.3,YES,0.0,YES,YES,YES,NO,NO
ID12141,55.0,MALE,TOWN,26774.2,YES,0.0,NO,NO,YES,YES,YES
ID12152,36.0,MALE,TOWN,23894.8,YES,0.0,NO,NO,NO,NO,NO
ID12161,42.0,FEMALE,INNER_CITY,24763.3,YES,1.0,NO,YES,YES,YES,YES
ID12169,30.0,MALE,TOWN,19403.1,NO,2.0,NO,YES,YES,NO,NO
ID12172,21.0,MALE,INNER_CITY,8062.73,NO,0.0,NO,NO,YES,NO,YES
ID12192,28.0,FEMALE,INNER_CITY,25429.3,NO,2.0,NO,YES,YES,YES,NO
ID12203,42.0,MALE,INNER_CITY,15499.9,YES,0.0,YES,NO,YES,YES,YES
ID12221,46.0,MALE,RURAL,29525.5,NO,2.0,NO,YES,NO,YES,NO
ID12241,52.0,MALE,INNER_CITY,37095.2,YES,3.0,NO,YES,YES,NO,NO
ID12243,28.0,FEMALE,TOWN,17240.6,YES,1.0,YES,NO,NO,YES,NO
ID12264,21.0,FEMALE,TOWN,7549.38,NO,1.0,YES,NO,YES,NO,NO
ID12266,26.0,MALE,RURAL,24071.8,YES,1.0,NO,NO,YES,YES,YES
ID12286,49.0,MALE,RURAL,32669.9,YES,1.0,YES,YES,YES,YES,YES
ID12290,41.0,FEMALE,INNER_CITY,21796.6,YES,0.0,NO,NO,YES,NO,NO
ID12302,46.0,FEMALE,TOWN,41627.1,YES,0.0,NO,YES,YES,YES,NO
ID12304,37.0,MALE,INNER_CITY,19012.8,NO,3.0,YES,NO,YES,NO,NO
ID12317,27.0,FEMALE,SUBURBAN,15156.2,YES,0.0,YES,NO,YES,NO,NO
ID12318,40.0,FEMALE,INNER_CITY,31774.1,YES,3.0,YES,YES,YES,YES,NO
ID12338,22.0,FEMALE,INNER_CITY,17866.9,YES,2.0,NO,YES,YES,YES,NO
ID12340,23.0,MALE,INNER_CITY,12823.7,YES,0.0,YES,YES,YES,NO,NO
ID12372,62.0,FEMALE,INNER_CITY,56394.3,NO,0.0,YES,YES,YES,NO,YES
ID12376,18.0,MALE,RURAL,9362.58,YES,0.0,YES,NO,YES,YES,YES
ID12386,25.0,MALE,TOWN,9485.84,YES,0.0,NO,NO,NO,NO,NO
ID12399,47.0,FEMALE,INNER_CITY,17139.5,NO,2.0,YES,NO,YES,NO,NO
ID12412,66.0,MALE,INNER_CITY,36646.4,NO,1.0,NO,YES,YES,NO,YES
ID12420,39.0,MALE,SUBURBAN,21951.3,NO,0.0,YES,YES,YES,YES,NO
ID12425,36.0,MALE,SUBURBAN,28495.1,YES,0.0,NO,YES,YES,NO,NO
ID12434,48.0,MALE,SUBURBAN,17861.0,YES,2.0,NO,YES,YES,NO,NO
ID12453,56.0,FEMALE,RURAL,24607.8,NO,1.0,NO,YES,YES,YES,NO
ID12464,19.0,FEMALE,TOWN,12549.0,YES,0.0,NO,YES,YES,NO,NO
ID12472,44.0,FEMALE,INNER_CITY,38453.7,NO,2.0,NO,YES,YES,NO,YES
ID12478,40.0,MALE,INNER_CITY,24823.5,NO,2.0,NO,NO,YES,NO,NO
ID12479,19.0,MALE,SUBURBAN,17986.8,YES,0.0,NO,NO,YES,YES,YES
ID12480,20.0,FEMALE,INNER_CITY,9909.82,YES,3.0,NO,NO,YES,NO,NO
ID12488,61.0,MALE,INNER_CITY,30157.7,NO,1.0,YES,NO,NO,NO,YES
ID12497,40.0,MALE,RURAL,25768.6,YES,0.0,YES,YES,NO,NO,NO
ID12502,26.0,MALE,RURAL,19563.8,NO,3.0,YES,NO,NO,YES,NO
ID12510,23.0,MALE,SUBURBAN,11073.0,YES,2.0,NO,YES,NO,NO,NO
ID12518,31.0,MALE,RURAL,22848.5,YES,1.0,YES,NO,NO,NO,YES
ID12548,35.0,FEMALE,TOWN,30799.5,YES,2.0,NO,NO,YES,NO,YES
ID12552,43.0,MALE,TOWN,38540.0,NO,0.0,YES,YES,NO,YES,NO
ID12554,59.0,FEMALE,RURAL,51284.3,NO,0.0,YES,YES,YES,YES,NO
ID12555,24.0,MALE,INNER_CITY,16352.2,NO,0.0,NO,YES,YES,YES,NO
ID12567,38.0,MALE,INNER_CITY,21876.5,YES,0.0,NO,NO,YES,NO,NO
ID12586,64.0,FEMALE,INNER_CITY,49917.3,YES,0.0,YES,YES,YES,YES,NO
ID12589,27.0,FEMALE,TOWN,14014.5,YES,3.0,NO,YES,NO,NO,NO
ID12591,58.0,FEMALE,INNER_CITY,31671.3,YES,1.0,YES,YES,NO,YES,YES
ID12609,60.0,MALE,SUBURBAN,50409.9,NO,2.0,NO,YES,YES,YES,YES
ID12616,48.0,FEMALE,INNER_CITY,16662.5,YES,1.0,NO,YES,YES,NO,YES
ID12618,51.0,MALE,TOWN,33615.4,YES,1.0,NO,YES,NO,YES,YES
ID12626,43.0,FEMALE,INNER_CITY,19326.9,YES,1.0,NO,NO,YES,NO,YES
ID12641,48.0,FEMALE,INNER_CITY,21821.4,YES,1.0,YES,YES,NO,YES,YES
