table,fields
ODS_ACU_ATTARCREDITO,"_id, age"
CL,"_id, age"
TEMP_MATRIZ_CXP_MO2,"_id, age"
V_FD_CLI_CTA_TAR_REL_MAT,"_id, age"
MDM_PERNAME,"_id, age"
ODS_FINMES_ATAHORROS,"_id, age"
CUADRO_MES_CRC,"_id, age"
FD_ACU_AMBS_CUENTAS,"_id, age"
MDM_PERSON,"_id, age"
FD_AMPJ_SUBPLAN,"_id, age"
FD_ACU_ATTARCREDITO,"_id, age"
MDM_CONTRACTSERV,"_id, age"
FD_GLATAREX,"_id, age"
DESEMBOLSOS,"_id, age"
GDD_MID_PREAPROBADOS,"_id, age"
ODS_TXN_TP_DWH,"_id, age"
GDD_MID_MAREIGUACAMPANAS,"_id, age"
ODS_ATTXC,"_id, age"
HISTORICO_CREDITOS,"_id, age"
MDM_SEGMENT,"_id, age"
CREDITOS,"_id, age"
DB_TARJETAS_DEBITO,"_id, age"
ODS_CANAL_DWH,"_id, age"
RDM_HIERARCHY_ALL,"_id, age"
ODS_BPM_PRODUCTOS,"_id, age"
ODS_NOVEDADES_EXPEDI_CRM,"_id, age"
FD_AMRM_RELACIONES,"_id, age"
CNL1,"_id, age"
ODS_ATCTACTES,"_id, age"
MDM_ORGNAME,"_id, age"
MDM_ADDRESS,"_id, age"
FD_ATTARCREDITO,"_id, age"
ODS_TARJ_DEBITO,"_id, age"
FD_AMBS_CUENTAS,"_id, age"
FD_PARAM_TRX_MON,"_id, age"
ODS_FINMES_ATCTACTES,"_id, age"
MDM_CONSENT_M_FULL,"_id, age"
USRCIF_PROD,"_id, age"
NU_CLASES_SERVICIO,"_id, age"
GD_MID_TXN_CANALES_TRAD,"_id, age"
FD_AMPS_PLANES1,"_id, age"
FD_PARAM_PLANES_CRED,"_id, age"
GD_MID_TOKEN,"_id, age"
ODS_PRODUCT_CLIE_FULL,"_id, age"
ODS_CREDITOS_CML,"_id, age"
TARJETAS_CREDITOS,"_id, age"
ATCRM_FULL1,"_id, age"
MDM_MACROROLE,"_id, age"
LINEAS_CREDITOS,"_id, age"
NU_ESTABLECIMIENTOS,"_id, age"
TEST_CUSTOMERS_INGESTION,"city"
